step;body_id;x;y;z
27;2;6.60722e+08;-2.52953e+09;0
28;0;1.93555e+09;1.93555e+09;0
28;1;-2.61987e+09;6.84319e+08;0
28;2;6.84319e+08;-2.61987e+09;0
29;0;2.00229e+09;2.00229e+09;0
29;1;-2.71021e+09;7.07917e+08;0
29;2;7.07917e+08;-2.71021e+09;0
30;0;2.06903e+09;2.06903e+09;0
30;1;-2.80055e+09;7.31514e+08;0
30;2;7.31514e+08;-2.80055e+09;0
31;0;2.13578e+09;2.13578e+09;0
31;1;-2.89089e+09;7.55111e+08;0
31;2;7.55111e+08;-2.89089e+09;0
32;0;2.20252e+09;2.20252e+09;0
32;1;-2.98123e+09;7.78708e+08;0
32;2;7.78708e+08;-2.98123e+09;0
33;0;2.26926e+09;2.26926e+09;0
33;1;-3.07157e+09;8.02306e+08;0
33;2;8.02306e+08;-3.07157e+09;0
34;0;2.33601e+09;2.33601e+09;0
34;1;-3.16191e+09;8.25903e+08;0
34;2;8.25903e+08;-3.16191e+09;0
35;0;2.40275e+09;2.40275e+09;0
35;1;-3.25225e+09;8.495e+08;0
35;2;8.495e+08;-3.25225e+09;0
36;0;2.46949e+09;2.46949e+09;0
36;1;-3.34259e+09;8.73097e+08;0
36;2;8.73097e+08;-3.34259e+09;0
37;0;2.53623e+09;2.53623e+09;0
37;1;-3.43293e+09;8.96695e+08;0
37;2;8.96695e+08;-3.43293e+09;0
38;0;2.60298e+09;2.60298e+09;0
38;1;-3.52327e+09;9.20292e+08;0
38;2;9.20292e+08;-3.52327e+09;0
39;0;2.66972e+09;2.66972e+09;0
39;1;-3.61361e+09;9.43889e+08;0
39;2;9.43889e+08;-3.61361e+09;0
40;0;2.73646e+09;2.73646e+09;0
40;1;-3.70395e+09;9.67486e+08;0
40;2;9.67486e+08;-3.70395e+09;0
41;0;2.80321e+09;2.80321e+09;0
41;1;-3.79429e+09;9.91084e+08;0
41;2;9.91084e+08;-3.79429e+09;0
42;0;2.86995e+09;2.86995e+09;0
42;1;-3.88463e+09;1.01468e+09;0
42;2;1.01468e+09;-3.88463e+09;0
43;0;2.93669e+09;2.93669e+09;0
43;1;-3.97497e+09;1.03828e+09;0
43;2;1.03828e+09;-3.97497e+09;0
44;0;3.00344e+09;3.00344e+09;0
44;1;-4.06531e+09;1.06188e+09;0
44;2;1.06188e+09;-4.06531e+09;0
45;0;3.07018e+09;3.07018e+09;0
45;1;-4.15565e+09;1.08547e+09;0
45;2;1.08547e+09;-4.15565e+09;0
46;0;3.13692e+09;3.13692e+09;0
46;1;-4.24599e+09;1.10907e+09;0
46;2;1.10907e+09;-4.24599e+09;0
47;0;3.20367e+09;3.20367e+09;0
47;1;-4.33633e+09;1.13267e+09;0
47;2;1.13267e+09;-4.33633e+09;0
48;0;3.27041e+09;3.27041e+09;0
48;1;-4.42667e+09;1.15626e+09;0
48;2;1.15626e+09;-4.42667e+09;0
49;0;3.33715e+09;3.33715e+09;0
49;1;-4.51701e+09;1.17986e+09;0
49;2;1.17986e+09;-4.51701e+09;0
50;0;3.40389e+09;3.40389e+09;0
50;1;-4.60735e+09;1.20346e+09;0
50;2;1.20346e+09;-4.60735e+09;0
51;0;3.47064e+09;3.47064e+09;0
51;1;-4.6977e+09;1.22706e+09;0
51;2;1.22706e+09;-4.6977e+09;0
52;0;3.53738e+09;3.53738e+09;0
52;1;-4.78804e+09;1.25065e+09;0
52;2;1.25065e+09;-4.78804e+09;0
53;0;3.60412e+09;3.60412e+09;0
53;1;-4.87838e+09;1.27425e+09;0
53;2;1.27425e+09;-4.87838e+09;0
54;0;3.67087e+09;3.67087e+09;0
54;1;-4.96872e+09;1.29785e+09;0
54;2;1.29785e+09;-4.96872e+09;0
55;0;3.73761e+09;3.73761e+09;0
55;1;-5.05906e+09;1.32144e+09;0
55;2;1.32144e+09;-5.05906e+09;0
56;0;3.80435e+09;3.80435e+09;0
56;1;-5.1494e+09;1.34504e+09;0
56;2;1.34504e+09;-5.1494e+09;0
57;0;3.8711e+09;3.8711e+09;0
57;1;-5.23974e+09;1.36864e+09;0
57;2;1.36864e+09;-5.23974e+09;0
58;0;3.93784e+09;3.93784e+09;0
58;1;-5.33008e+09;1.39224e+09;0
